,target_return,achieved_return,variance,stdev,Stock_1,Stock_2,Stock_3,Stock_4,Stock_5,Stock_6,Stock_7,Stock_8,Stock_9,Stock_10,Stock_11,Stock_12,Stock_13,Stock_14,Stock_15,Stock_16,Stock_17,Stock_18,Stock_19,Stock_20,Stock_21,Stock_22,Stock_23,Stock_24,Stock_25,Stock_26,Stock_27,Stock_28,Stock_29,Stock_30,Stock_31,Stock_32,Stock_33,Stock_34,Stock_35,Stock_36,Stock_37,Stock_38,Stock_39,Stock_40,Stock_42,Stock_43,Stock_44,Stock_45,Stock_46,Stock_47,Stock_48,Stock_49,Stock_50,Stock_51,Stock_52,Stock_53,Stock_55,Stock_56,Stock_57,Stock_58,Stock_59,Stock_60,Stock_61,Stock_62,Stock_63,Stock_65,Stock_66,Stock_67,Stock_68,Stock_69,Stock_70,Stock_71,Stock_72,Stock_73,Stock_74,Stock_75,Stock_76,Stock_77,Stock_78,Stock_79,Stock_80,Stock_81,Stock_82,Stock_83,Stock_84,Stock_85,Stock_86,Stock_87,Stock_89,Stock_90,Stock_91,Stock_92,Stock_93,Stock_94,Stock_95,Stock_96,Stock_97,Stock_98,Stock_99,Stock_100
0,-0.0963,-0.09629740914652936,0.010435998460320532,0.10215673477710871,1.1301510835986024e-07,1.1385891551974518e-07,1.3445148395339987e-07,1.3303922172134163e-07,1.3627374594883876e-07,1.3227222201950065e-07,1.198867785235056e-07,8.466685759454316e-08,1.5051454931927554e-07,1.3499833320902165e-07,9.574161402104555e-08,1.1945635950528537e-07,1.3663730830545584e-07,1.0446134538450493e-07,1.2849888866832277e-07,1.3539400804737863e-07,9.801870540621876e-08,1.158579727642908e-07,1.3513570885344594e-07,9.446064197818821e-08,1.0740293463896722e-07,1.3115096375160802e-07,1.861993084096732e-06,1.295346446655074e-07,1.2194087620455403e-07,1.1866051880441456e-07,1.320610536868456e-07,1.2007561700233292e-07,1.3952183018571953e-07,1.1399035503634485e-07,8.775842837498833e-08,1.3077548154520613e-07,1.2130675714965953e-07,1.3711943083231895e-07,1.2234970438733379e-07,1.382062982105889e-07,1.268241297665111e-07,1.6307077772545763e-05,1.2416367531014658e-07,1.1912763090694626e-07,1.1982370240161938e-07,1.299358671625535e-07,1.1120950788197542e-07,1.2423269225846558e-07,1.246608491077111e-07,1.3209252367221213e-07,1.2865665994386392e-07,1.2287238753338048e-07,1.1857675697407453e-07,2.253054578242717e-06,1.3585641906738616e-07,1.1129993632807265e-07,1.2339960652107157e-07,1.983571325385241e-06,1.336472937224293e-07,1.2660393251621508e-07,1.286916850210666e-07,1.3089760987449862e-07,1.1651259676807746e-07,1.450807089946661e-07,1.1683140900316201e-07,1.2502292525947987e-07,8.582567563892055e-08,1.103447747349336e-07,1.0779289236410318e-07,1.3418859335320336e-07,1.1398261539871253e-07,1.1755333315173131e-07,1.6854074253687676e-07,1.2755542052681256e-07,1.0138268329446532e-07,1.10583048180086e-07,1.19572330279341e-07,1.2436910972451976e-07,1.2226821461039243e-07,1.39316617682506e-07,6.913013553984473e-07,5.543450538727306e-06,1.1004794419486463e-07,1.1475754589779111e-07,1.1676307481882463e-07,1.2747647286950265e-07,1.2524475516108798e-07,8.951464311072639e-08,1.3553238607216543e-07,1.289746568924609e-07,1.1699353302728572e-07,8.26379340501357e-06,1.229061924863199e-07,0.9999787536675498,1.347834597580478e-07,1.3271274382052508e-07,1.2303643486971964e-07,1.2752500649533893e-07,1.369869490985287e-07,1.261283517603261e-07
1,-0.09262727272727272,-0.09262727083983917,0.009378319504322346,0.09684172398466658,6.22187641230111e-09,5.035661296242607e-09,9.097339808142519e-09,5.942968414351821e-09,9.70144749872786e-09,1.0347251363058773e-08,6.47692427033946e-09,8.325125907644051e-09,2.2531041485322398e-08,1.0163656643793963e-08,4.4048601769915185e-09,6.691360039643126e-09,1.0560786487584566e-08,1.0610087580486302e-08,8.337011827074407e-09,1.0203392527549849e-08,7.626075244588783e-09,6.088999871301545e-09,1.0083605185100253e-08,9.793688833484941e-09,4.848310681646857e-09,8.920171229631944e-09,5.310394318610006e-07,1.0371755202296951e-08,7.510308442231718e-09,7.349992385660024e-09,1.0664792747204962e-08,7.269830357826478e-09,9.765257342465546e-09,6.339988927597691e-09,8.232090577778458e-09,1.0476930193442955e-08,7.855513621496285e-09,1.0387267603278479e-08,7.46837037255957e-09,6.198380198373941e-09,1.075187878562655e-08,0.053129443291466176,8.47241857008759e-09,6.8160666264292785e-09,6.550272534468575e-09,1.0479671701166035e-08,7.215198313563953e-09,8.156746398196743e-09,7.350541158272527e-09,1.0236779883545183e-08,7.958622612281793e-09,6.9430435419505875e-09,6.855240015206082e-09,7.65306612801565e-07,9.528066222008638e-09,1.0773844518129582e-08,7.4280895612421885e-09,6.449733622776628e-07,9.85357312350814e-09,8.667713500710503e-09,8.507781536540486e-09,5.861607647161528e-09,6.172103606425788e-09,6.601673899900191e-09,6.514402165404574e-09,7.970700065516075e-09,8.964711882983393e-09,1.0672686987699687e-08,1.0332752881145443e-08,9.292046409085795e-09,6.085199465017725e-09,8.106045504390952e-09,3.6701101458218224e-08,1.0304356332722011e-08,1.0413436846813535e-08,6.025388161920308e-09,7.236773173484204e-09,1.0518193495867885e-08,6.960566911717034e-09,6.3090780501074504e-09,1.8087268775955558e-07,2.7179474743903483e-06,5.594004461695059e-09,6.331533962563351e-09,6.095634555334149e-09,8.959578507099938e-09,1.0715443300409518e-08,7.593036162923696e-09,9.929491711938859e-09,8.927593718301374e-09,6.449884738757319e-09,1.0896516021945482e-05,7.331772972535671e-09,0.9468540711925754,1.0099778899286363e-08,1.0377274800518426e-08,7.644814778566295e-09,9.397561167308712e-09,9.854007650512227e-09,7.954342284870246e-09
2,-0.08895454545454545,-0.088954541883457,0.008386298007268072,0.09157673289252063,2.781936494666299e-08,2.1239522010393845e-08,4.303922953077642e-08,2.3981676059553323e-08,4.5655194767408604e-08,5.064769935062623e-08,3.0046758828327204e-08,5.2212053535814935e-08,1.1584505264321921e-07,4.767874145682885e-08,1.9347990198879722e-08,3.138874001591284e-08,4.936253109140548e-08,5.8434834177876165e-08,3.949304368994525e-08,4.927544847993181e-08,4.53122352569947e-08,2.8133625721014875e-08,4.87596276995455e-08,5.728027156217701e-08,2.059865373090679e-08,4.200426627193378e-08,3.6256814522632637e-06,5.1175512176068223e-08,3.500888130503267e-08,3.42649339205626e-08,5.156503208065348e-08,3.4975064880731995e-08,4.585375700204275e-08,2.963367447842334e-08,5.354715964261432e-08,5.257286850695724e-08,3.6707011616455464e-08,5.045433210241785e-08,3.467146996942287e-08,2.5690531050390924e-08,5.140188282488377e-08,0.10608364118328534,4.9737339281169784e-08,3.122456073916156e-08,3.049682255580743e-08,5.269779173142531e-08,2.7950038984828917e-08,3.698510931263976e-08,3.544088313778672e-08,5.047633058335592e-08,3.723714675170204e-08,3.2637793317473555e-08,3.2503113366677886e-08,5.467243622823406e-06,4.5420773302689226e-08,5.7138083504597884e-08,3.449735065237479e-08,4.214328181278157e-06,4.69506459588838e-08,4.11802825783439e-08,3.9894082055767544e-08,2.355099125531846e-08,2.8406734248344646e-08,2.6256167834512944e-08,3.0496519579579476e-08,4.669083823125177e-08,5.7275741083848906e-08,5.630607153408508e-08,5.558666922912556e-08,4.4553166255949754e-08,2.7960187947970565e-08,3.1706353072292266e-08,2.146581995420921e-07,5.2033578342558897e-08,5.759488094167294e-08,2.7848048844117236e-08,3.362116622133892e-08,5.377287892810109e-08,3.2803933194645315e-08,2.54044948879872e-08,1.0561824416862545e-06,2.495468436702463e-05,3.033461712775634e-08,2.9485551048907778e-08,2.8031104969229045e-08,4.277561234514632e-08,5.382336244620008e-08,4.434545769615921e-08,4.735850068500781e-08,4.241024044662829e-08,3.028591763157572e-08,0.00013182559480645964,3.506638519254861e-08,0.8937414556697048,4.843183960826899e-08,5.129068460927707e-08,3.538088210938966e-08,4.277856365079584e-08,4.714754821869718e-08,4.40791174341464e-08
3,-0.08528181818181818,-0.08528181815531231,0.007458681499392098,0.08636365844145383,3.528250605710121e-10,3.008463959011558e-10,5.475987846461221e-10,3.318746382754558e-10,5.727124380203797e-10,6.131887514571647e-10,3.8029004971696997e-10,9.948928963016463e-10,4.5359939168955195e-09,5.780096961854848e-10,2.716488007918679e-10,3.9655338718068583e-10,6.047184264312271e-10,7.529265274881563e-10,5.00068731025399e-10,5.958372438572702e-10,5.557841244314221e-10,3.5801152522752405e-10,5.908614009073979e-10,8.120536108561812e-10,2.89266714944031e-10,5.342669933289132e-10,4.437158673853311e-08,6.250105480071596e-10,4.4166484490210057e-10,4.321025640863686e-10,6.248910107780929e-10,4.418770643433776e-10,5.62135389337333e-10,3.7480224469421114e-10,8.33040269061873e-10,6.41565804929954e-10,4.6344817639313503e-10,6.128994128083207e-10,4.372862895403966e-10,3.5922564478115215e-10,6.411517898952056e-10,0.1594508419283982,6.051255862589267e-10,3.9382956299340387e-10,3.8527882964848515e-10,6.419161202829664e-10,3.798486136462389e-10,4.64943213667849e-10,4.497174917943303e-10,6.144600437619398e-10,4.711414510363226e-10,4.1130716528155696e-10,4.119775371222927e-10,6.148799020489729e-08,5.754245578815678e-10,7.146170251402857e-10,4.357306430555465e-10,4.681785634989713e-08,5.969288299317943e-10,5.224084323096358e-10,5.063907236607224e-10,3.287800281918755e-10,3.5951176830235733e-10,3.5842130321002914e-10,3.852247892238536e-10,5.545449780682106e-10,1.723068661809662e-09,7.111523073215074e-10,7.036083218402384e-10,5.626735762335045e-10,3.545036475488557e-10,4.243019847260253e-10,9.261430427927097e-09,5.211514445659838e-10,7.586721245287342e-10,3.526300508908887e-10,4.2419261016220785e-10,6.699506607154469e-10,4.128229824785527e-10,3.514617430520618e-10,1.6984654692757362e-08,2.1518274106392308e-07,3.2455119620531933e-10,3.7253923729214564e-10,3.552043674583552e-10,5.437037192891186e-10,6.681848758878084e-10,5.825635168549539e-10,5.90958406611352e-10,5.388276135720953e-10,3.830261368496862e-10,1.0120724118421439e-06,4.4250303973071215e-10,0.8405477026090821,5.980075619014496e-10,6.197846565819555e-10,4.4673073071714275e-10,4.965790353474418e-10,5.679168257082793e-10,5.259734168644283e-10
4,-0.08160909090909091,-0.08160909090909088,0.0065973344460348235,0.08122397703901739,6.254091088641637e-10,2.1437677806566374e-10,8.314562066697152e-10,4.3509863589667257e-10,8.708574938021218e-10,9.335573190064067e-10,5.684879367043833e-10,1.4843948478016711e-09,9.110955115257974e-09,8.794967207595156e-10,3.951098118312336e-10,5.961033055908433e-10,9.230914782326582e-10,1.1637651883289259e-09,7.587969634031923e-10,9.069815105843469e-10,8.78018841896171e-10,6.292896915957192e-10,9.00616755885081e-10,1.239949963061059e-09,2.384289662098966e-10,8.10920903774805e-10,9.2640051186705e-08,9.274483222886277e-10,6.675171740007486e-10,6.535955704442516e-10,9.516470195125794e-10,6.698436336756495e-10,8.52860835081163e-10,5.626217239905903e-10,1.2018753919007667e-09,9.262341857254663e-10,7.0227068245098e-10,9.354918483492984e-10,6.609242933002696e-10,4.744501051886271e-10,9.805199336260018e-10,0.21259861116778644,9.559283056889784e-10,5.931164684593615e-10,5.772202785207349e-10,9.425177354333179e-10,4.96742404073757e-10,7.026678220582729e-10,6.809270075131867e-10,8.854933419224906e-10,7.131238469949472e-10,6.184161046787002e-10,6.222944287558207e-10,1.3133631013805252e-07,8.776104233778293e-10,1.098733459169612e-09,6.574245315148486e-10,1.0326937866285836e-07,9.094552458880079e-10,7.948160540797672e-10,7.676150226696758e-10,4.304973285273013e-10,5.357790334122913e-10,4.69091446809074e-10,5.786663011186783e-10,8.781640792560811e-10,1.4543370271761646e-09,1.0917123839383115e-09,1.08926794421982e-09,8.571103366071024e-10,5.283881124305951e-10,5.588744988675103e-10,1.9224698623454556e-08,8.33803254846981e-10,1.164431352012412e-09,5.274185244150081e-10,6.411323724216079e-10,1.022936250263562e-09,6.214555389633045e-10,4.611775561435427e-10,3.519809893848009e-08,5.175512544325724e-07,5.311258810718894e-10,5.583971278326324e-10,5.289571682294722e-10,8.288557139071253e-10,1.0210376794360916e-09,9.09751959825836e-10,9.015212207415241e-10,8.210394155882853e-10,5.755817029843869e-10,3.032712545298407e-06,6.692979428349772e-10,0.7873973813374512,9.129604430154534e-10,9.45369892423009e-10,6.75362142513122e-10,7.929581926881692e-10,8.65548082805548e-10,8.238502888811886e-10
5,-0.07793636363636364,-0.07793636363636362,0.0058017034624097885,0.07616891401621655,5.892106157229404e-09,3.6663964826585723e-09,8.794941774886907e-09,2.4071061472174136e-09,9.291055088561015e-09,1.0408003292702671e-08,6.594756952845258e-09,2.0807584790556453e-08,9.167174146031094e-08,9.578874603877848e-09,3.964476318844987e-09,6.257417098354347e-09,9.970200067309698e-09,1.501576064362334e-08,8.009828429171519e-09,1.0099488124182614e-08,1.1956580476749627e-08,5.970542744736461e-09,1.0028001545407207e-08,1.672016572608974e-08,3.7154204738574337e-09,8.550188608690106e-09,7.878668899510225e-07,1.1077763035496294e-08,7.026327639495894e-09,6.877831836045699e-09,1.0697979601467228e-08,7.067836208814911e-09,9.263040389350375e-09,6.629215532417658e-09,1.7953785063232747e-08,1.1197385986248885e-08,7.3814849567723e-09,1.0224598194305121e-08,6.954441268367469e-09,3.171603898858909e-09,1.1723097768709994e-08,0.26568443403803044,1.2930506635370246e-08,6.224518643655509e-09,6.047041822466336e-09,1.139462395010509e-08,4.77101835580852e-09,7.33690961184056e-09,7.212714875802284e-09,1.0601523507797173e-08,7.525991083289045e-09,6.4976044430940016e-09,6.54147488448806e-09,1.0996397781284353e-06,9.359045503097604e-09,1.366896509302491e-08,6.924042341468266e-09,8.299238830498587e-07,9.615623330833606e-09,8.382917912960453e-09,8.088136831805971e-09,2.5299178068833475e-09,6.096554551179825e-09,4.537262758173666e-09,6.068856488662552e-09,1.1853906466516232e-08,3.9769033233985894e-08,1.371738005924775e-08,1.4000357324780931e-08,9.125677264913278e-09,6.003414404101973e-09,5.3568528912041856e-09,1.772673451537547e-07,1.1106129050419092e-08,1.523845887433773e-08,6.06036945864034e-09,6.741500291876179e-09,1.2564539882208428e-08,6.532794711958314e-09,2.3554883246688606e-09,2.9357974840884486e-07,4.5640892543461885e-06,5.07359273191152e-09,6.622857776772706e-09,6.015769272689077e-09,8.73711443294498e-09,1.2457943742564876e-08,1.22411343683526e-08,9.663423546338022e-09,8.663777938995965e-09,6.0438648729427395e-09,4.8693403019571535e-05,7.064721440127357e-09,0.734258249293883,9.848943296422227e-09,1.0506677744558606e-08,7.093283397962962e-09,1.0717602189429458e-08,9.553206878847252e-09,1.119607367676285e-08
6,-0.07426363636363637,-0.07426363636363638,0.005071908776946047,0.07121733480653462,1.8440151581240113e-08,1.37311631247951e-08,3.011737558398344e-08,1.0190740001953468e-08,3.208894418571176e-08,3.9846057385467456e-08,2.074393501096007e-08,7.397512991824676e-08,4.039912581983837e-07,3.402590508749624e-08,1.2203244028699996e-08,2.3047843240838197e-08,3.5291690530211744e-08,6.318998346562446e-08,2.7165100207500584e-08,3.648577783995849e-08,4.9952980923594195e-08,1.8707133132140385e-08,3.622814500995147e-08,6.957606641103326e-08,1.3588219234030018e-08,2.9180136202606487e-08,3.105377561585395e-06,4.303549810060133e-08,2.3479890012973548e-08,2.2993887591228138e-08,3.952844196186472e-08,2.3698011194892082e-08,3.241362066086163e-08,2.0903689669113064e-08,8.540108397218023e-08,4.3920910184865316e-08,2.484265401886183e-08,3.645234922471216e-08,2.3219934920142628e-08,1.3154659786237258e-08,4.596969013414378e-08,0.3185358032155741,5.453229398753984e-08,2.053344699419946e-08,2.1783955272647916e-08,4.4744429956346666e-08,8.4929846290511e-09,2.4595288991979345e-08,2.4183315485387416e-08,4.101570942493973e-08,2.5299551096127394e-08,2.146623510058701e-08,2.169839986685093e-08,4.43089166592451e-06,3.223797233922439e-08,5.58010898009319e-08,2.307448432769928e-08,3.3823918381435452e-06,3.315430932816779e-08,2.8664516736762668e-08,2.7450648028449156e-08,1.068730092720742e-08,1.9087391230032185e-08,9.084511611013865e-09,2.21732374151789e-08,4.926295085403046e-08,2.4579295731899686e-07,5.6275900948789584e-08,5.8241990662986865e-08,3.155179716928059e-08,1.8798689197525905e-08,8.371046884960962e-09,7.677158504762146e-07,4.583047363270349e-08,6.46600971207098e-08,1.902904706186238e-08,2.2449427523804994e-08,5.042884231518243e-08,2.1609723858215206e-08,1.0431162513537125e-08,1.1606345843548946e-06,2.012115158556583e-05,1.577059096018825e-08,2.0854939796435647e-08,1.8817650000105884e-08,3.0010065544624516e-08,4.986636393759538e-08,5.1053298607054137e-08,3.367722409411781e-08,2.9716600140399925e-08,2.1949721694516197e-08,0.00026905542771073383,2.366778106177517e-08,0.6811588117215317,3.463123151144607e-08,4.025773080554362e-08,2.3716423921716952e-08,4.3972291524086696e-08,3.3977558136021765e-08,4.625614459379046e-08
7,-0.07059090909090909,-0.07059090909090909,0.004406972416494115,0.06638503156957987,7.889553460062259e-11,7.10651006471666e-11,8.082622455972697e-11,5.7099623472848424e-11,8.938930690887885e-11,1.805975334783577e-10,8.962235639776958e-11,6.622206422559694e-10,2.081884085096617e-09,1.5327946008430975e-10,5.326683499042107e-11,9.918844925425808e-11,1.6125019247016258e-10,2.8964531053979545e-10,7.259363685033336e-11,1.6607253528702324e-10,2.237150930069053e-10,4.485449111598726e-11,1.645611719148633e-10,3.44434466689378e-10,6.915089333466692e-11,7.911430821952694e-11,1.85776838404936e-08,1.9397897860811496e-10,6.27873879669709e-11,6.181589132590951e-11,1.7905105910126484e-10,6.358042006994775e-11,1.4683786059643182e-10,9.074244880350516e-11,5.348134263212192e-10,2.009302371454029e-10,6.742380304852052e-11,1.6989906002320154e-10,6.211499419249504e-11,7.307439675435565e-11,2.055954043509059e-10,0.3720503304291787,2.520120078696889e-10,9.932984724840671e-11,9.353415942452229e-11,2.0415649046514033e-10,5.263248309559558e-11,6.597309963655513e-11,6.472337223067541e-11,1.8559398463242228e-10,6.760640374852242e-11,1.0409259202472013e-10,1.072170518407013e-10,2.7739108355297025e-08,8.584924144160623e-11,2.552390346641266e-10,6.115162334482198e-11,1.961900645654346e-08,8.829149039416245e-11,7.800143306466519e-11,7.433366745295756e-11,5.883509477008054e-11,8.221748569702335e-11,5.389379516017707e-11,9.56235703133171e-11,2.2210359641968458e-10,1.5208327902248598e-09,2.556056296249169e-10,2.6480225013299084e-10,8.30187686456337e-11,8.076056071023015e-11,5.502774405684386e-11,4.2338611944235045e-09,2.0279512910453954e-10,2.952677824041806e-10,8.210733511568623e-11,5.990518784809949e-11,2.2802061387104834e-10,1.0524685370450196e-10,5.944699485033841e-11,6.065049790951307e-09,1.4954044951542345e-07,4.856410221931664e-11,8.990669920183475e-11,8.120092032678437e-11,8.163142539258395e-11,2.2771098977467548e-10,2.226889131151172e-10,9.116628316714158e-11,8.068420471399754e-11,9.531159116442918e-11,4.791777429145666e-06,6.32898214607924e-11,0.6279446368759516,9.048254954240065e-11,1.8448967143756177e-10,6.346350826347392e-11,1.9297232097798515e-10,1.5497713223056454e-10,2.0311941052092369e-10
8,-0.06691818181818182,-0.06691818181818182,0.0038081837986818252,0.061710483701570715,7.570847916914922e-10,6.93381410768334e-10,1.277602453897751e-09,6.540322762613416e-10,1.3623483170435332e-09,1.8071664528298264e-09,8.122088732157492e-10,6.750359437593006e-09,1.2513213031913508e-08,1.3651117692800525e-09,5.00732236347411e-10,8.316196588437047e-10,1.4235000653129763e-09,2.8207391557533204e-09,1.2593365225725029e-09,1.4479999540814977e-09,2.31175510930837e-09,7.715715834910939e-10,1.4249117554917633e-09,3.83776299425685e-09,6.706726371690677e-10,1.240135447363988e-09,1.1762675455492496e-07,1.9495802638093637e-09,1.0853570372749131e-09,1.0628873775689875e-09,1.5516475982304156e-09,1.0923589034437491e-09,1.3156730827962943e-09,7.960935674110619e-10,5.752013297814566e-09,1.9813466994363254e-09,1.1524343504551922e-09,1.446027064437122e-09,1.0750417914320283e-09,7.669928581780151e-10,2.0866390242615364e-09,0.4247848008649737,2.506062173681508e-09,8.243860568800676e-10,8.129696127311556e-10,2.020067417602588e-09,6.908532145261937e-10,1.1474747404086806e-09,1.1149930601588159e-09,1.8547252736475667e-09,1.1720436908391215e-09,8.567794328060541e-10,9.960235285366429e-10,1.8921740056698463e-07,1.3658214055795977e-09,2.5400049170933017e-09,1.0655870153603355e-09,1.3562367175196961e-07,1.3996767630538014e-09,1.2117856907061997e-09,1.1675943502642807e-09,6.607544708833661e-10,7.693033111560832e-10,6.7104061738636e-10,8.088614633763779e-10,2.269022484313672e-09,1.1394791305496686e-08,2.5762024496899514e-09,2.6837146741249296e-09,1.3272688407912296e-09,7.588170768185942e-10,7.582511390819065e-10,2.684829094460685e-08,2.0987357610744715e-09,3.0103193234045553e-09,7.539021858954852e-10,1.034402302560576e-09,2.291656831432481e-09,9.872059450009202e-10,6.921977424851169e-10,3.389746751057709e-08,1.6329554133176342e-06,6.994316674694536e-10,7.893012796065036e-10,7.605684429479494e-10,1.2646486001001572e-09,2.2624444418904115e-09,2.3462051622151366e-09,1.4174178636358743e-09,1.2583630560254494e-09,8.073889631030034e-10,0.0003563020232694213,1.0969814596730117e-09,0.5748566107419667,1.386188185283511e-09,1.5587711361895149e-09,1.0995485587509265e-09,2.017226842367235e-09,1.3633461471768663e-09,2.1323247806769085e-09
9,-0.06324545454545455,-0.06324545454545456,0.003274237401288342,0.057220952467503916,1.5199655677656106e-09,1.4110428502250227e-09,2.2012767128640166e-09,1.3182340124383223e-09,2.8654753618048514e-09,3.643235572102021e-09,1.649655713218984e-09,2.4956582774753107e-08,4.368994250234331e-08,3.055586951004711e-09,9.325095865632136e-10,1.681667229489771e-09,3.204271914839586e-09,7.88765977170565e-09,2.0316044007800653e-09,3.3246016263054986e-09,4.6927158797990135e-09,1.5747777889965237e-09,3.3056936562954623e-09,1.4701036643150415e-08,1.3556018895951196e-09,2.1344842757328816e-09,4.7422423005501104e-07,3.931580554875055e-09,1.8200513536289222e-09,1.7838884346892902e-09,3.604323355790013e-09,1.8402376050032167e-09,2.898133137167043e-09,1.6225328218497152e-09,2.1472819654406963e-08,4.048096416210247e-09,1.8882305707637918e-09,3.3430735425103147e-09,1.8085094944270864e-09,1.5932101213441936e-09,4.200635544010906e-09,0.46303481030997995,4.231570343923603e-09,1.6653147038630275e-09,1.6399048230754435e-09,4.124341490223267e-09,1.379422071297143e-09,1.8811928134626464e-09,1.8692386814958076e-09,3.7439401240278624e-09,1.9419981391218507e-09,1.7354942569642005e-09,1.73666739648447e-09,8.247868315783714e-07,2.898286590614722e-09,4.447654658961117e-09,1.7999252628918379e-09,5.690110051073216e-07,2.9807818972629192e-09,2.1107961724230716e-09,2.0382469169303447e-09,1.3175454404134603e-09,1.553929918881904e-09,1.3465686240093708e-09,1.638418380484909e-09,4.649194914156146e-09,4.2841705124499254e-08,4.365428810625635e-09,4.581296645600937e-09,2.298361326275342e-09,1.5285008642461914e-09,1.5409573067380296e-09,1.0287728702513632e-07,4.172656958800867e-09,8.809941307843307e-09,1.5236870336840225e-09,1.7666764975710367e-09,4.7113331238907035e-09,1.7450957749842923e-09,1.3961678680872929e-09,1.2737457752688778e-07,9.412812573879369e-06,1.4069955775538776e-09,1.5965314378732887e-09,1.5384769866169126e-09,2.200640334272234e-09,4.680167278958744e-09,5.845493322782206e-09,3.0358998099834142e-09,2.1685983868323456e-09,1.6485127623979648e-09,0.013010281951671856,1.8148717558425732e-09,0.5239430278958243,3.140832910780555e-09,3.7093227003755456e-09,1.8335731573722642e-09,3.85815750386064e-09,3.078308495882206e-09,4.1944486153542706e-09
