asset,weight
Stock_1,0.010043498087387871
Stock_2,0.0
Stock_3,0.021636387021082053
Stock_4,0.010084219221302598
Stock_5,0.011921740783929545
Stock_6,0.02235787744494784
Stock_7,0.010228347747823082
Stock_8,0.0
Stock_9,0.0
Stock_10,0.0
Stock_11,0.0
Stock_12,0.010009772862165173
Stock_13,0.01211583922460504
Stock_14,0.011383253017077558
Stock_15,0.0
Stock_16,0.010288918999186585
Stock_17,0.0
Stock_18,0.01334522359531889
Stock_19,0.011264171505020425
Stock_20,0.014921673614942996
Stock_21,0.0
Stock_22,0.022927785947669928
Stock_23,0.0
Stock_24,0.012080794802065808
Stock_25,0.016289180678088072
Stock_26,0.018649294337235535
Stock_27,0.011213650788177876
Stock_28,0.011785396638319857
Stock_29,0.01004808774950636
Stock_30,0.010048168434513921
Stock_31,0.0
Stock_32,0.010033247830997374
Stock_33,0.011425543927911029
Stock_34,0.011500995860242677
Stock_35,0.022247881379711253
Stock_36,0.0
Stock_37,0.010032210622626873
Stock_38,0.0
Stock_39,0.0
Stock_40,0.010042456749526085
Stock_42,0.01347244917860719
Stock_43,0.014303927827410768
Stock_44,0.01002987292802044
Stock_45,0.0
Stock_46,0.011123228084132686
Stock_47,0.02243432026554055
Stock_48,0.010286066079783007
Stock_49,0.010372836989901216
Stock_50,0.010014947942354647
Stock_51,0.0
Stock_52,0.023652064803529035
Stock_53,0.01007452127352387
Stock_55,0.02206587310614964
Stock_56,0.0
Stock_57,0.010213779558167865
Stock_58,0.020429761629918212
Stock_59,0.027246196114527048
Stock_60,0.010007737697866618
Stock_61,0.020315870658680738
Stock_62,0.011115745654074591
Stock_63,0.02075868804920371
Stock_65,0.0
Stock_66,0.021627302778967572
Stock_67,0.01808706123738667
Stock_68,0.0
Stock_69,0.0
Stock_70,0.010605619039969436
Stock_71,0.0
Stock_72,0.011257269600500861
Stock_73,0.0
Stock_74,0.025325529102430258
Stock_75,0.010012276373367195
Stock_76,0.01510830266093087
Stock_77,0.014262231918924175
Stock_78,0.011806978252273484
Stock_79,0.0
Stock_80,0.0
Stock_81,0.010038954518974361
Stock_82,0.019896412755170633
Stock_83,0.014172701727283292
Stock_84,0.011913339448199644
Stock_85,0.01677782003744376
Stock_86,0.023666648088009116
Stock_87,0.0
Stock_89,0.014787955633836097
Stock_90,0.010036744965868762
Stock_91,0.02451804642072889
Stock_92,0.010027229659165289
Stock_93,0.010033739298087168
Stock_94,0.0
Stock_95,0.010638240406534041
Stock_96,0.011029973130303216
Stock_97,0.02564119371318575
Stock_98,0.0
Stock_99,0.012884922519685309
Stock_100,0.0
