asset,weight
Stock_1,0.010244248691552993
Stock_2,0.002831598248205412
Stock_3,0.02184150133156944
Stock_4,0.01117602189405845
Stock_5,0.011093281698201719
Stock_6,0.01816912770115314
Stock_7,0.00943801641737156
Stock_8,0.0018529899471094657
Stock_9,0.0036777230073398097
Stock_10,0.003531283982221874
Stock_11,0.002335333469307121
Stock_12,0.005605164499577868
Stock_13,0.012130490188595055
Stock_14,0.00837200790411289
Stock_15,0.002102742623801563
Stock_16,0.012812971719624235
Stock_17,0.0008846505821037484
Stock_18,0.013874198016163596
Stock_19,0.005909699848043521
Stock_20,0.011657340917286423
Stock_21,0.002827924540124701
Stock_22,0.020920364763712736
Stock_23,0.00033544325079831825
Stock_24,0.012961360263897307
Stock_25,0.017236217106276163
Stock_26,0.019759097746298256
Stock_27,0.012533392448059373
Stock_28,0.014979041057363291
Stock_29,0.006912723692272389
Stock_30,0.009785059124965384
Stock_31,0.0015297957523082077
Stock_32,0.0055761457057341484
Stock_33,0.013575102349569976
Stock_34,0.013721186816964579
Stock_35,0.025194376781519392
Stock_36,0.004103212846730908
Stock_37,0.006569304518578863
Stock_38,0.0003807660562984735
Stock_39,0.0009542732457749714
Stock_40,0.00847672535976523
Stock_42,0.01572710572992812
Stock_43,0.014291855689879732
Stock_44,0.00942318581229507
Stock_45,0.004113766579434022
Stock_46,0.013705217598898952
Stock_47,0.020981674151529423
Stock_48,0.008543669321694035
Stock_49,0.011352022097721265
Stock_50,0.006859044422643827
Stock_51,0.00012610476659417706
Stock_52,0.023989685229044835
Stock_53,0.006970752947781263
Stock_55,0.022125651900392528
Stock_56,0.0014677210820938816
Stock_57,0.011064525116513815
Stock_58,0.02224755126969818
Stock_59,0.02749145637605413
Stock_60,0.007142418206648649
Stock_61,0.019737096292932153
Stock_62,0.012083555546337112
Stock_63,0.027124976024051655
Stock_65,0.0004014394222239485
Stock_66,0.017854095603030667
Stock_67,0.01884589875380844
Stock_68,0.0026201760886020962
Stock_69,0.001725365205908711
Stock_70,0.011361251811421393
Stock_71,0.0031148032787123763
Stock_72,0.004640224372266947
Stock_73,0.0005840942522747012
Stock_74,0.017336564728642246
Stock_75,0.007877559783676925
Stock_76,0.01613123908621325
Stock_77,0.012122260289459022
Stock_78,0.013056939411364044
Stock_79,0.0054490915654424755
Stock_80,0.0017097794627049397
Stock_81,0.002195892169831366
Stock_82,0.022109883625716326
Stock_83,0.0168943484840083
Stock_84,0.015665207900388306
Stock_85,0.01673570714130227
Stock_86,0.01740529816197047
Stock_87,0.00026029743976288967
Stock_89,0.017554926479487937
Stock_90,0.006036415093963607
Stock_91,0.024769528531421062
Stock_92,0.001395623880227485
Stock_93,0.008563515928836054
Stock_94,0.00018631860940090408
Stock_95,0.011168069182348436
Stock_96,0.009821281815555428
Stock_97,0.02466391384954003
Stock_98,0.001018808531450463
Stock_99,0.013581012534527065
Stock_100,0.0007022252479299448
