Portfolio,PortfolioESG,PortfolioExpectedReturn,NumHoldings
tangency,61.19118119025769,0.10570000000000002,96
tangency_esg,70.00027450920332,0.10530062892491263,63
equal_weight,63.77083333333333,0.09369270833333336,96
inverse_vol,63.101915015774665,0.08386497979711113,96
